"Symbol","Name","Price (intraday)","Change","% change","Market cap","Volume in currency (since 0:00 UTC)","Volume in currency (24 hrs)","Total volume all currencies (24 hrs)","Circulating supply"
"CHZ-GBP","Chiliz GBP","0.186956","+0.011513","+6.56%","1.102B","152.022M","152.022M","152.022M","5.894B"

"EGLD-GBP","Elrond GBP","61.71","+10.98","+21.64%","1.092B","58.406M","58.406M","58.406M","17.698M"

"CEL-GBP","Celsius GBP","4.5396","+0.4959","+12.26%","1.084B","12.314M","12.314M","12.314M","238.864M"

"DASH-GBP","Dash GBP","105.33","+11.76","+12.56%","1.075B","303.333M","303.333M","303.333M","10.208M"

"TUSD-GBP","TrueUSD GBP","0.723093","-0.003650","-0.50%","1.017B","52.369M","52.369M","52.369M","1.406B"

"YFI-GBP","yearnfinance GBP","24,528.17","+2,179.28","+9.75%","898.6M","179.249M","179.249M","179.249M","36,635"

"XEM-GBP","NEM GBP","0.096065","+0.012736","+15.28%","864.588M","49.539M","49.539M","49.539M","9B"

"HNT1-GBP","Helium GBP","9.5401","+1.1075","+13.13%","841.067M","12.429M","12.429M","12.429M","88.161M"

"HOT1-GBP","Holo GBP","0.004658","+0.000351","+8.14%","804.299M","66.431M","66.431M","66.431M","172.674B"

"SUSHI-GBP","Sushi GBP","5.8557","+0.5553","+10.48%","745.099M","151.99M","151.99M","151.99M","127.244M"

"ZIL-GBP","Zilliqa GBP","0.062959","+0.005157","+8.92%","719.646M","115.299M","115.299M","115.299M","11.43B"

"XDC-GBP","XinFinNetwork GBP","0.055552","+0.004985","+9.86%","681.995M","5.941M","5.941M","5.941M","12.277B"

"ENJ-GBP","EnjinCoin GBP","0.807863","+0.070998","+9.64%","674.025M","77.665M","77.665M","77.665M","834.331M"

"QNT-GBP","Quant GBP","55.84","-8.61","-13.36%","674.195M","18.706M","18.706M","18.706M","12.073M"

"BAT-GBP","BasicAttentionToken GBP","0.438300","+0.037193","+9.27%","656.432M","114.994M","114.994M","114.994M","1.498B"

"MANA-GBP","Decentraland GBP","0.403255","+0.036965","+10.09%","637.298M","30.24M","30.24M","30.24M","1.58B"

"BTG-GBP","BitcoinGold GBP","35.68","+5.81","+19.44%","624.948M","26.286M","26.286M","26.286M","17.514M"

"STX1-GBP","Stacks GBP","0.542992","+0.039784","+7.91%","625.941M","4.955M","4.955M","4.955M","1.153B"

"SNX-GBP","SynthetixNetworkToken GBP","5.3114","+0.4748","+9.82%","609.974M","55.771M","55.771M","55.771M","114.842M"

"CELO-GBP","Celo GBP","2.4517","-0.1661","-6.35%","602.455M","49.776M","49.776M","49.776M","245.73M"

"ZEN-GBP","Horizen GBP","48.74","+5.40","+12.47%","548.058M","39.766M","39.766M","39.766M","11.244M"

"BNT-GBP","Bancor GBP","2.4385","+0.2031","+9.08%","541.767M","64.961M","64.961M","64.961M","222.173M"

"DFI-GBP","DeFiChain GBP","1.7215","+0.0738","+4.48%","517.344M","1.517M","1.517M","1.517M","300.512M"

"QTUM-GBP","Qtum GBP","5.2603","+0.7565","+16.80%","518.079M","208.967M","208.967M","208.967M","98.489M"

"XWC-GBP","WhiteCoin GBP","0.704426","+0.009891","+1.42%","514.055M","11.244M","11.244M","11.244M","729.75M"

"ONE2-GBP","Harmony GBP","0.050305","+0.002717","+5.71%","513.918M","19.104M","19.104M","19.104M","10.216B"

"NANO-GBP","Nano GBP","3.7863","+0.2445","+6.90%","504.513M","25.323M","25.323M","25.323M","133.248M"

"DGB-GBP","DigiByte GBP","0.034804","+0.003271","+10.37%","502.707M","19.401M","19.401M","19.401M","14.444B"

"CRV-GBP","CurveDAOToken GBP","1.3300","+0.1798","+15.64%","496.732M","107.965M","107.965M","107.965M","373.486M"

"SC-GBP","Siacoin GBP","0.009403","+0.000435","+4.85%","452.501M","38.997M","38.997M","38.997M","48.121B"

"ONT-GBP","Ontology GBP","0.519406","+0.053109","+11.39%","451.929M","89.786M","89.786M","89.786M","870.089M"

"ZRX-GBP","0x GBP","0.532880","+0.026590","+5.25%","450.456M","46.669M","46.669M","46.669M","845.324M"

"OMG-GBP","OmiseGO GBP","3.0976","+0.3518","+12.81%","434.43M","145.32M","145.32M","145.32M","140.245M"

"ANKR-GBP","Ankr GBP","0.057685","+0.005475","+10.49%","403.577M","43.086M","43.086M","43.086M","6.996B"

"UMA-GBP","UMA GBP","6.5184","+0.3206","+5.17%","401.994M","23.182M","23.182M","23.182M","61.67M"

"ICX-GBP","ICON GBP","0.604931","+0.058162","+10.64%","385.868M","30.049M","30.049M","30.049M","637.871M"

"RVN-GBP","Ravencoin GBP","0.042105","+0.003293","+8.48%","383.045M","26.736M","26.736M","26.736M","9.097B"

"VGX-GBP","VoyagerToken GBP","1.7096","+0.0716","+4.37%","380.031M","3.05M","3.05M","3.05M","222.295M"

"ARRR-GBP","PirateChain GBP","1.9501","-0.2687","-12.11%","357.683M","2.102M","2.102M","2.102M","183.422M"

"BCD-GBP","BitcoinDiamond GBP","1.6258","+0.1182","+7.84%","303.208M","8.488M","8.488M","8.488M","186.493M"

"XVG-GBP","Verge GBP","0.017216","+0.001185","+7.39%","283.328M","16.349M","16.349M","16.349M","16.457B"

"AR-GBP","Arweave GBP","7.9284","+0.5532","+7.50%","264.767M","9.722M","9.722M","9.722M","33.395M"

"CKB-GBP","NervosNetwork GBP","0.009568","+0.000724","+8.19%","256.959M","12.091M","12.091M","12.091M","26.855B"

"IOST-GBP","IOST GBP","0.015661","+0.001669","+11.93%","257.685M","99.066M","99.066M","99.066M","16.454B"

"LRC-GBP","Loopring GBP","0.208590","+0.003348","+1.63%","255.642M","62.522M","62.522M","62.522M","1.226B"

"RSR-GBP","ReserveRights GBP","0.018537","+0.001209","+6.98%","243.95M","27.572M","27.572M","27.572M","13.16B"

"MIR1-GBP","MirrorProtocol GBP","3.0429","+0.0977","+3.32%","236.565M","14.53M","14.53M","14.53M","77.743M"

"MAID-GBP","MaidSafeCoin GBP","0.513851","+0.036092","+7.55%","232.545M","1.105M","1.105M","1.105M","452.552M"

"LSK-GBP","Lisk GBP","1.7825","+0.2547","+16.67%","228.944M","26.708M","26.708M","26.708M","128.439M"

"KNC-GBP","KyberNetwork GBP","1.1147","+0.1019","+10.06%","228.568M","30.117M","30.117M","30.117M","205.045M"

